Nome,CPF,Endereço,Telefone,Email,Endereço coleta,Endereço entrega,Peso (kg),Volume (m³),Prioridade
Asafe Vasconcelos,74570729850,"Rua de da Cruz, 5
Savassi
89833-698 Rocha Grande / SC",21 3613 6522,julianalopes@example.com,"Rua de da Cruz, 5
Savassi
89833-698 Rocha Grande / SC","Aeroporto Castro, 85
Vila Das Oliveiras
59282445 Pastor / AP",3000,5,sim
Srta. Sabrina Leão,19849842337,"Jardim de Porto, 26
Túnel De Ibirité
06621-565 Novais / AM",+55 (084) 8608-3210,nogueirapietro@example.org,"Jardim de Porto, 26
Túnel De Ibirité
06621-565 Novais / AM","Alameda Costa, 194
Ipe
99245832 das Neves / GO",3000,5,sim
Murilo Fernandes,10837703904,"Lago de Sales, 196
Vila Mantiqueira
51364-726 da Conceição / PA",+55 (071) 8488-5186,smoreira@example.com,"Lago de Sales, 196
Vila Mantiqueira
51364-726 da Conceição / PA","Fazenda de Nogueira, 38
Minas Brasil
12812-918 Jesus do Oeste / RS",4000,2,sim
Alana Rios,10820889787,"Trecho Arthur Miguel Campos, 451
Monte Azul
59882977 Pimenta / PA",0500-357-0620,siqueiramaria-clara@example.org,"Trecho Arthur Miguel Campos, 451
Monte Azul
59882977 Pimenta / PA","Distrito de Cirino
Vila De Sá
50080719 Aparecida / TO",9000,3,sim
Olivia Nogueira,84241373963,"Passarela Vicente Borges
Grotinha
95071-848 Aragão do Norte / SP",0900-029-7595,alexandre57@example.net,"Passarela Vicente Borges
Grotinha
95071-848 Aragão do Norte / SP","Viaduto de Silva, 775
Tiradentes
36355155 Albuquerque / MS",5000,5,não
Emanuel Carvalho,30973427887,"Fazenda de Brito, 54
Inconfidência
12299-537 Sá / RN",(041) 7323-8361,martinsdavi-miguel@example.org,"Fazenda de Brito, 54
Inconfidência
12299-537 Sá / RN","Recanto Gomes, 824
Vila Nova Cachoeirinha 1ª Seção
68506217 Carvalho de Moraes / PA",2000,2,não
Yan Montenegro,54422166153,"Setor de Araújo, 23
Vila Nova Cachoeirinha 1ª Seção
55940-021 da Rocha de Oliveira / MG",+55 31 6151 2505,ninavieira@example.com,"Setor de Araújo, 23
Vila Nova Cachoeirinha 1ª Seção
55940-021 da Rocha de Oliveira / MG","Alameda Dias, 91
Vila Nova
24131301 Novaes do Galho / TO",3000,5,não
Davi Miguel Ferreira,13707418984,"Vila de da Mota, 52
Pindura Saia
01484136 Rios de Pacheco / PB",41 5966-1588,maria-fernanda99@example.org,"Vila de da Mota, 52
Pindura Saia
01484136 Rios de Pacheco / PB","Pátio Nogueira, 298
Ventosa
60563989 Lopes / AC",5000,1,não
Bianca Barbosa,88697656606,"Rua de Costa, 70
Nossa Senhora Aparecida
52871-946 Pinto do Amparo / PI",31 7698-6516,mendoncacalebe@example.com,"Rua de Costa, 70
Nossa Senhora Aparecida
52871-946 Pinto do Amparo / PI","Condomínio Gabrielly Araújo, 935
Dom Bosco
29791977 Machado do Sul / SC",7000,3,não
Bella Moreira,58058799210,"Aeroporto Milena Sousa, 83
Vila Paraíso
84686-446 Lopes / SC",11 7928 8386,gaelda-costa@example.com,"Aeroporto Milena Sousa, 83
Vila Paraíso
84686-446 Lopes / SC","Condomínio de Vieira, 3
Maria Goretti
71371360 Almeida / TO",6000,4,não
Gustavo Henrique Brito,94341533368,"Praia Benício Pacheco, 4
Mala E Cuia
79882-248 Brito / PI",(061) 6081 2581,leonardo55@example.com,"Praia Benício Pacheco, 4
Mala E Cuia
79882-248 Brito / PI","Jardim Silva, 5
Vista Alegre
41906214 Siqueira da Praia / AM",9000,5,não
Ana Beatriz Sá,31920610224,"Esplanada de da Mata, 76
Cidade Nova
33259507 Santos de Minas / GO",+55 (021) 7966-2358,zmendes@example.com,"Esplanada de da Mata, 76
Cidade Nova
33259507 Santos de Minas / GO","Trecho Gustavo Borges, 809
Santo André
42610-617 Machado / MA",3000,3,sim
Ravi Lucca Farias,66132292020,"Residencial de Barros
Vila Aeroporto Jaraguá
56846316 Lopes do Campo / AM",(041) 3198 1347,camargomarcelo@example.net,"Residencial de Barros
Vila Aeroporto Jaraguá
56846316 Lopes do Campo / AM","Largo de Leão
Candelaria
85624-065 Marques do Oeste / RS",2000,4,não
Henry Pereira,49826780650,"Colônia Vinícius da Luz, 519
Maria Helena
35252-277 Azevedo das Pedras / RR",+55 (061) 7056 2933,anthony31@example.org,"Colônia Vinícius da Luz, 519
Maria Helena
35252-277 Azevedo das Pedras / RR","Travessa Rezende
Conjunto Minas Caixa
36314998 Vasconcelos do Amparo / MS",5000,5,sim
Luísa Peixoto,29901314185,"Vale de Sampaio, 83
São Luiz
49558-738 Novaes / MA",(041) 2226 1248,maria-clarada-cunha@example.net,"Vale de Sampaio, 83
São Luiz
49558-738 Novaes / MA","Estrada Sales, 6
Brasil Industrial
56533640 Oliveira do Amparo / TO",4000,4,sim
Isis Mendonça,39847622401,"Chácara Luiza da Paz
Jaraguá
45259-695 da Luz / RO",+55 71 5306 3824,psantos@example.com,"Chácara Luiza da Paz
Jaraguá
45259-695 da Luz / RO","Chácara Lorena Barbosa
Cardoso
26842843 Aparecida do Campo / PB",6000,1,não
Sra. Giovanna Aparecida,48980415667,"Sítio Lívia da Costa, 5
Vila Piratininga Venda Nova
47320-314 Rios do Sul / BA",+55 (084) 4308 8529,costadom@example.com,"Sítio Lívia da Costa, 5
Vila Piratininga Venda Nova
47320-314 Rios do Sul / BA","Lago de Peixoto, 44
Vila Nova Cachoeirinha 1ª Seção
38751741 Rocha de Novais / AC",1000,2,não
Nicolas Abreu,94638970461,"Jardim Silveira, 545
Vitoria Da Conquista
33645954 Lopes de Aragão / PR",+55 (084) 6794 6490,ucavalcante@example.org,"Jardim Silveira, 545
Vitoria Da Conquista
33645954 Lopes de Aragão / PR","Vale Fernanda da Costa, 9
Dom Bosco
26275239 Monteiro / SC",6000,2,não
Yuri Marques,79679939856,"Vila da Costa, 7
Caiçaras
36149-644 Oliveira / PI",+55 (031) 0363 2096,danilo49@example.org,"Vila da Costa, 7
Caiçaras
36149-644 Oliveira / PI","Aeroporto de Ribeiro, 72
Madri
15196567 Carvalho / AM",3000,4,não
